price,bedrooms,room_shared,room_private,person_capacity,superhost,multi,biz,cleanliness,guest_satisfaction,dist,metro_dist,attr_index,rest_index,lng,lat
242.9771685,1,FALSE,TRUE,2,FALSE,1,0,9,91,1.169970229,0.345529453,21.95245225,35.01750754,2.18245,41.38231
381.9210091,1,FALSE,TRUE,2,TRUE,0,0,10,96,0.976230829,0.222893188,26.40111127,37.83646514,2.17941,41.38192
173.6216166,1,FALSE,TRUE,2,FALSE,0,0,8,89,0.945187462,0.243481527,28.30841368,42.43568148,2.17871,41.3817
730.3279261,2,FALSE,FALSE,5,FALSE,0,1,9,82,1.830897303,0.21134597,52.48535202,17.06037459,2.176,41.403
589.987665,1,FALSE,FALSE,5,TRUE,0,1,10,96,1.149454342,0.309008276,16.58822601,27.44334116,2.15805,41.39224
215.2814951,1,FALSE,TRUE,2,TRUE,1,0,10,95,0.953504876,0.183158759,28.24154822,35.52249572,2.18089,41.38456
215.2814951,1,FALSE,TRUE,2,FALSE,0,1,8,85,0.61996348,0.486781896,19.26362533,29.09970674,2.1672,41.38197
182.9310866,1,FALSE,TRUE,2,FALSE,1,0,10,91,1.040165364,0.260480189,23.57988738,30.51067872,2.17304,41.37805
248.5628506,1,FALSE,TRUE,2,FALSE,1,0,9,90,1.200493998,0.19607054,21.73420892,29.73708889,2.17732,41.37783
157.5627807,1,FALSE,TRUE,2,TRUE,0,0,10,95,2.54543729,0.872419081,12.93594668,12.9035582,2.15934,41.40861
127.307003,1,FALSE,TRUE,2,TRUE,1,0,10,93,1.763690987,0.33864072,12.17415159,17.87080648,2.16265,41.37225
207.1357088,1,FALSE,TRUE,2,FALSE,0,0,10,93,0.555278334,0.2877359,24.93517907,29.54744283,2.17651,41.38817
185.2584542,1,FALSE,TRUE,2,FALSE,0,0,10,100,1.228793005,0.228934604,20.92299877,29.71433467,2.17786,41.37778
196.8952917,1,FALSE,TRUE,2,TRUE,0,0,10,95,1.508614613,0.094424949,12.62237831,19.4789722,2.16063,41.37553
150.5806782,1,FALSE,TRUE,2,FALSE,1,0,9,90,1.90175641,0.399137059,10.9717622,16.22837503,2.14972,41.3794
469.6627644,1,FALSE,FALSE,4,TRUE,0,1,10,90,1.06040381,0.192601615,19.8759334,29.43120191,2.16,41.393
469.6627644,1,FALSE,FALSE,4,TRUE,0,1,10,100,1.060395022,0.192614339,19.87584434,29.43142539,2.16,41.393
990.5276142,3,FALSE,FALSE,6,TRUE,0,1,10,92,1.060388208,0.192623834,19.87578617,29.43160622,2.16,41.393
115.6701655,1,FALSE,TRUE,2,FALSE,0,0,8,85,2.817926967,0.476050668,9.615222478,11.00280906,2.144,41.371
462.9133987,2,FALSE,TRUE,4,FALSE,1,0,10,92,1.066655456,0.315285072,23.7225003,42.72857749,2.18002,41.38118
190.8441362,1,FALSE,TRUE,2,FALSE,1,0,10,92,1.414391771,0.179256084,12.25013715,19.30355162,2.156,41.38
167.8031978,1,FALSE,TRUE,2,FALSE,1,0,10,92,1.414399723,0.179246517,12.25012375,19.30343292,2.156,41.38
185.2584542,1,FALSE,TRUE,2,TRUE,0,0,10,96,0.456164774,0.322861245,25.33995782,36.50881376,2.17017,41.38303
156.1663602,1,FALSE,TRUE,2,FALSE,1,0,10,88,1.414390719,0.179259865,12.25012595,19.30364384,2.156,41.38
150.5806782,1,FALSE,TRUE,2,FALSE,0,0,10,93,0.217536202,0.20646161,19.64499822,32.64858261,2.16778,41.38613
132.8926851,1,FALSE,TRUE,2,FALSE,1,0,10,92,1.414377102,0.179270458,12.25017876,19.30367103,2.156,41.38
324.2022948,2,FALSE,FALSE,3,TRUE,0,0,10,96,1.34243873,0.30574645,12.28684311,20.67806923,2.15524,41.3824
157.5627807,1,FALSE,TRUE,2,TRUE,1,0,10,97,4.345493177,0.508463147,5.895198702,7.224573186,2.21101,41.4112
231.340331,1,FALSE,TRUE,2,FALSE,1,0,9,94,0.792730128,0.201335182,18.48989974,23.86004415,2.17819,41.39075
115.6701655,1,FALSE,TRUE,2,FALSE,0,0,10,93,2.09031404,0.127859682,30.72730166,15.7009855,2.17517,41.40556
205.972025,1,FALSE,TRUE,2,TRUE,0,0,10,95,0.611575815,0.263605781,28.16163686,33.57948706,2.17018,41.38163
171.2942491,1,FALSE,TRUE,2,FALSE,0,1,8,76,0.546395627,0.200254501,17.37222915,27.87004185,2.16501,41.38397
121.4885843,1,FALSE,TRUE,2,FALSE,0,0,9,94,1.182954331,0.352411556,16.18156842,18.75307017,2.17969,41.39491
182.9310866,1,FALSE,TRUE,2,FALSE,0,1,7,80,1.220873922,0.162576177,12.91044968,20.68291491,2.15795,41.38094
164.3121465,1,FALSE,TRUE,3,FALSE,0,0,9,89,1.601386874,0.564388736,15.80458626,21.37800947,2.16072,41.39975
171.2942491,1,FALSE,TRUE,2,FALSE,0,1,7,80,0.371300887,0.191477921,18.47313132,29.82919482,2.16565,41.38651
161.984779,1,FALSE,TRUE,2,FALSE,0,0,10,100,0.470120721,0.183837581,25.39005772,28.72436875,2.17534,41.38849
173.6216166,1,FALSE,TRUE,2,FALSE,1,0,9,83,1.435399329,0.222104541,12.70393649,19.71274474,2.15988,41.3767
208.5321293,1,FALSE,TRUE,2,FALSE,0,0,10,92,1.14251776,0.501732216,20.14830529,27.91991624,2.18366,41.38663
117.997533,1,FALSE,TRUE,2,TRUE,1,0,10,94,1.782534172,0.304295495,12.14712913,17.34915883,2.16193,41.37228
183.8620337,1,FALSE,TRUE,2,FALSE,1,0,9,90,1.524644272,0.146693409,12.68672432,19.82481061,2.16203,41.37479
179.4400354,1,FALSE,TRUE,2,FALSE,0,0,9,94,1.786689059,0.256771447,12.15116171,17.20116615,2.16113,41.3725
165.2430935,1,FALSE,TRUE,2,TRUE,1,0,9,96,1.830408856,0.26285282,30.69875388,16.62144001,2.17161,41.40358
208.5321293,1,FALSE,TRUE,2,FALSE,0,0,10,90,1.569254979,0.159661217,11.71435365,18.39610729,2.15366,41.3802
164.3121465,1,FALSE,TRUE,2,FALSE,1,0,10,94,1.496952804,0.252058928,12.87473211,20.87282029,2.16329,41.37464
190.8441362,1,FALSE,TRUE,2,TRUE,1,0,10,97,1.355339734,0.340393629,12.68795386,19.92180954,2.15849,41.37855
237.1587497,1,FALSE,TRUE,2,FALSE,1,0,9,82,0.234488256,0.22908934,23.34857114,37.07875065,2.17265,41.38642
144.5295227,1,FALSE,TRUE,2,FALSE,1,0,8,86,2.186083445,0.390551059,20.11184873,13.7899609,2.17892,41.40565
306.5143017,1,FALSE,TRUE,2,TRUE,0,1,10,96,1.17480563,0.204398978,17.46970107,26.47169887,2.15845,41.39315
239.4861173,1,FALSE,TRUE,2,TRUE,1,0,9,94,1.122798867,0.202290004,100,26.89068161,2.16203,41.39527
195.731608,1,FALSE,TRUE,2,TRUE,1,0,10,95,1.092117323,0.431853524,22.65984845,36.18574776,2.179,41.38
185.2584542,1,FALSE,TRUE,2,TRUE,1,0,10,96,2.220392113,0.359786607,20.36937907,13.80772306,2.17821,41.40616
249.9592711,1,FALSE,TRUE,2,TRUE,1,0,9,95,1.097958603,0.161250897,19.61271928,29.74181671,2.15971,41.39327
